linesAdded,linesDeleted,linesChanged,functionsAdded,functionsDeleted,functionsModified,classesAdded,classesDeleted,classesModified,importsAdded,importsDeleted,degreeCentrality,betweennessCentrality,pageRank,inDegree,outDegree,coupling,impactScore,impactLabel
5,1,2,0,0,1,0,0,0,0,0,0.10330564986963806,0.028501044005901307,0.07561585579265855,2,0,3,,Low
10,15,8,3,1,3,0,0,2,3,1,0.5297050785608234,0.3221055876732696,0.15187236417073408,7,2,14,,Medium
48,49,60,6,3,10,3,1,3,5,4,0.7519917133493524,0.8006605719384134,0.3983619331175565,15,5,16,,High
41,36,37,3,1,8,1,2,4,6,2,0.859369299520095,0.39460201924097854,0.31821678013941423,12,9,20,,High
69,31,32,4,1,10,1,2,5,6,3,0.6556175761749253,0.8499900046953095,0.5497738919757043,20,10,22,,High
5,2,2,0,0,0,0,0,0,0,0,0.02029979290021875,0.04843094073609931,0.023380709942357556,1,1,2,,Low
24,7,17,3,0,3,2,1,3,4,2,0.481253907926165,0.2601204272271356,0.12630793188285483,6,4,6,,Medium
17,10,12,1,1,2,1,1,1,1,0,0.322440956524952,0.3254579069033394,0.2048954163039795,8,5,8,,Medium
5,1,2,0,0,1,0,0,0,0,0,0.07817753204582971,0.048466252430203256,0.027248841971469977,0,0,0,,Low
20,7,15,1,0,2,1,0,2,3,0,0.47836080695143446,0.39878437038153713,0.20592437610820857,8,3,13,,Medium
4,0,0,0,0,0,0,0,0,0,0,0.02243465836775411,0.02271352761652546,0.03478997379035655,1,2,1,,Low
20,14,20,3,1,4,0,1,1,3,0,0.4712436958264139,0.35549203998124057,0.21847065451282088,4,4,13,,Medium
41,44,30,6,2,7,1,1,5,4,2,0.8702429987316914,0.8462628215519805,0.422330322857127,13,6,19,,High
18,15,18,2,0,4,1,1,2,2,1,0.566464202225078,0.17501598103994281,0.15627511226684704,4,4,13,,Medium
4,0,3,0,0,1,0,0,0,0,0,0.11782248551549494,0.006420238657425176,0.05743185795594829,1,0,1,,Low
24,9,18,3,1,2,1,1,2,1,0,0.2767446688689558,0.3301979029463211,0.11862200666507246,8,6,11,,Medium
2,0,0,0,0,0,0,0,0,0,0,0.13586083717757594,0.0008900187982340436,0.04041454521713169,1,1,2,,Low
59,26,60,3,1,9,2,1,3,2,4,0.7660014346838695,0.7633181636383779,0.5207958997374686,12,10,12,,High
19,7,10,1,0,3,1,1,1,4,0,0.28290251780647085,0.15377392491387526,0.09883611597733054,8,2,10,,Medium
1,1,3,0,0,1,0,0,0,0,0,0.12207078541002425,0.029824795509309634,0.05539735485329881,2,1,2,,Low
3,0,3,0,0,0,0,0,0,0,0,0.13244282130067167,0.040237840118307756,0.013693460564847222,2,1,1,,Low
11,7,20,2,1,2,2,1,3,4,2,0.5691929231622546,0.1781098561072978,0.14040126456496044,6,5,7,,Medium
4,0,1,0,0,1,0,0,0,0,0,0.11503158463333191,0.039038374675410444,0.04377129744136426,0,0,0,,Low
46,30,24,3,3,7,3,2,3,4,1,0.7914523843394141,0.38684193137327894,0.3273594199884867,13,8,17,,High
4,2,1,0,0,1,0,0,0,0,0,0.03458082994831289,0.03446803594722941,0.05164339212889471,1,2,3,,Low
51,48,30,3,3,10,3,1,4,3,2,0.5858185671774482,0.5154393666969437,0.5740253297497331,10,6,18,,High
3,0,0,0,0,0,0,0,0,0,0,0.011696815406061153,0.003908221073492796,0.06148798275310539,2,0,0,,Low
40,42,24,3,1,10,1,1,5,4,1,0.9357271406661452,0.5697934254133399,0.4541112202732605,13,12,19,,High
37,25,37,5,2,6,2,1,3,5,3,0.6498399052186757,0.4023329075449393,0.38235595419768986,10,10,15,,High
52,44,59,3,2,9,1,2,3,4,1,0.586478039881493,0.6794604726683737,0.2143929552961216,10,8,18,,High
20,10,15,1,1,2,1,0,3,1,1,0.5691421351045377,0.2647761960023301,0.11263951444417354,3,6,13,,Medium
5,1,3,0,0,0,0,0,0,0,0,0.0667620874555805,0.03129773551701926,0.0570996994848788,2,1,0,,Low
34,46,29,4,3,9,2,2,5,4,4,0.7595793989104322,0.552914783435769,0.5424625312109765,20,10,16,,High
39,49,31,6,2,10,3,1,3,5,1,0.7614216656678001,0.7993857838599916,0.2952153011473377,15,8,20,,High
12,5,10,1,1,2,1,0,3,3,0,0.5963880610172114,0.17716675592893333,0.23853195275753847,8,4,7,,Medium
13,12,10,1,1,4,1,1,1,1,0,0.5772086763130202,0.28512844838626844,0.12209630053168377,8,4,10,,Medium
45,28,42,6,2,8,1,2,3,5,2,0.5188883502071979,0.7102007869827024,0.4977664541538189,10,6,24,,High
35,43,54,6,3,7,3,2,4,2,2,0.5432347599182121,0.47887447450588516,0.3725324291337204,19,9,21,,High
54,22,39,4,2,7,2,2,5,5,4,0.7406035810998353,0.8030945209417113,0.5356115725213025,16,11,23,,High
48,32,24,3,1,5,3,2,5,2,1,0.5246082188451935,0.30660263640830004,0.32095667814260903,10,9,16,,High
3,1,1,0,0,0,0,0,0,0,0,0.10442051841323571,0.008570117653103221,0.046996077345737956,0,2,0,,Low
1,0,2,0,0,1,0,0,0,0,0,0.1247863073522449,0.04650667727879523,0.024462192399503556,0,1,3,,Low
45,40,58,4,3,7,1,2,3,2,3,0.5767062547631476,0.5771091959777417,0.2352077430384314,20,8,25,,High
17,15,11,1,0,5,1,1,3,2,2,0.37768110238448216,0.12502897466995752,0.20629590615395027,8,2,7,,Medium
21,10,13,2,1,2,2,0,1,2,2,0.31146078235936453,0.19657236950701523,0.08649479197995932,3,6,6,,Medium
24,14,15,3,1,3,0,0,1,4,0,0.5496362036592475,0.31973007201347425,0.13267539607393947,7,4,9,,Medium
4,1,0,0,0,0,0,0,0,0,0,0.03238006115592989,0.006584958959755083,0.055577391889037715,1,1,1,,Low
3,0,1,0,0,1,0,0,0,0,0,0.08179289349529537,0.013139544119160013,0.06660721913816689,1,2,2,,Low
17,7,11,3,0,4,1,0,1,2,2,0.4399586294218788,0.2778403537345462,0.2025620510134868,3,4,14,,Medium
24,8,19,1,0,4,2,1,2,1,0,0.33917024363490433,0.17901330809683474,0.11444046596988214,7,5,7,,Medium
65,30,33,6,1,10,1,1,5,3,2,0.5516553977764953,0.42713159161555175,0.2821805476117226,15,6,21,,High
19,10,14,1,0,5,2,1,3,1,1,0.588918205602786,0.3632357317465954,0.0941573539181288,6,5,10,,Medium
5,0,1,0,0,0,0,0,0,0,0,0.10725897563861764,0.043004358312482054,0.015885289648766985,1,2,2,,Low
14,8,12,3,1,5,2,1,2,2,1,0.28020609373587724,0.20724336142146801,0.20072519951000287,6,6,13,,Medium
1,0,3,0,0,1,0,0,0,0,0,0.1462990110360454,0.02004642318603488,0.0468733675693501,1,2,0,,Low
12,7,12,2,1,4,0,0,1,1,1,0.3060239903306516,0.19108080037044606,0.15275961271005328,7,4,11,,Medium
59,32,49,6,2,9,3,2,5,6,4,0.6986831078048189,0.6066966107655876,0.3621835016344769,12,11,22,,High
20,10,9,2,0,2,0,1,2,4,0,0.5697350525389417,0.20409413199480134,0.18376766255069804,7,2,6,,Medium
4,2,3,0,0,0,0,0,0,0,0,0.08913067449508753,0.007235587286612261,0.010849842962986134,1,2,3,,Low
22,8,20,3,1,5,2,0,1,3,2,0.29392431666406926,0.2923311004646437,0.24016487975727085,5,2,14,,Medium
44,34,48,5,3,5,2,2,3,5,2,0.6729162440480707,0.858216284424516,0.5560785995300335,11,8,17,,High
4,1,1,0,0,0,0,0,0,0,0,0.10580300210737612,0.00659564139380236,0.02034048433416611,0,0,3,,Low
40,38,26,4,1,10,3,2,4,3,3,0.8074745878649968,0.6560440245296781,0.253428173457443,19,8,23,,High
17,9,18,1,0,5,1,1,2,4,1,0.3034979549894772,0.38866296938055533,0.22110265595637857,6,4,9,,Medium
13,7,18,3,0,4,2,1,1,4,2,0.48056069813449853,0.10992389048862966,0.1157648209571428,5,3,5,,Medium
3,0,2,0,0,0,0,0,0,0,0,0.019272438401614155,0.023477143385764277,0.05962279572014856,1,2,0,,Low
43,25,46,4,3,6,1,2,4,3,1,0.5857998385436671,0.7218287065252413,0.3154714811802532,10,10,16,,High
17,12,18,3,1,2,2,1,2,2,0,0.4822482323874138,0.27994124331336123,0.13166102013109093,8,2,13,,Medium
56,48,20,4,3,7,1,1,4,5,2,0.9205073378512576,0.8663388996132175,0.31765175109263566,8,5,18,,High
55,28,51,3,1,10,3,1,4,5,2,0.7928165687723718,0.7420967552040647,0.2979637387905668,8,11,22,,High
3,0,2,0,0,0,0,0,0,0,0,0.09759157997061056,0.02240509165310733,0.04268243634905517,0,2,1,,Low
4,0,1,0,0,0,0,0,0,0,0,0.04833055467719552,0.02736656560670302,0.06108988665034695,0,1,3,,Low
44,50,25,5,3,5,3,1,5,3,3,0.7786741703292939,0.8480914716970989,0.4935872919139625,17,5,20,,High
64,44,31,3,2,10,3,2,4,6,4,0.5297662420162877,0.8755833220454505,0.5190087128145189,8,11,24,,High
2,2,3,0,0,0,0,0,0,0,0,0.14490180435198013,0.041622355111239295,0.020866161602491537,1,0,1,,Low
1,1,2,0,0,0,0,0,0,0,0,0.12674307808277993,0.04643376747990589,0.05695505135251013,2,0,0,,Low
18,5,19,3,0,5,2,1,1,1,1,0.38787965434560817,0.16255152866561146,0.14946444093743458,8,2,5,,Medium
4,2,3,0,0,0,0,0,0,0,0,0.1451868998087837,0.0440631173705608,0.022095826138583827,1,1,0,,Low
69,30,54,6,2,10,1,2,3,6,1,0.8888570154994693,0.42334123290105485,0.49905141048423035,12,11,25,,High
13,13,20,1,0,2,0,1,1,3,1,0.4772333186672621,0.18901049688649807,0.18688192085937272,3,2,12,,Medium
25,13,13,2,1,4,1,0,3,2,1,0.46777441961921334,0.36891338460076806,0.14116544772093884,8,5,12,,Medium
3,2,0,0,0,0,0,0,0,0,0,0.04936817249447843,0.04849360026197602,0.06713841247311024,2,1,1,,Low
13,6,12,3,0,3,2,0,1,3,1,0.5103388091946326,0.11856041394382455,0.15193881311418944,8,3,13,,Medium
